In writing this story the author has been indebted_ for suggestions * local color_ to George Kennan’s illuminating article in the National Geographic Magazine_ \"An Island in the Sea of History_\" to Stephen Graham’s fascinating book_ A Vagabond in the Caucasus_ and to Ruth Kedzie Wood’s excellent guide_ The Tourist’s Russia.,of,depart,circle,campingplace
Mrs. Porter declared that the * should then remain at home_ at least until they had ceased to be boys.,boys,perform,better,predicted
She said * her nerves were not equal to another such strain as they had endured while the boys were in the wilds of Mexico_ and that she would have no more wandering in dangerous foreign lands.,that,demands,wished,edging
Her husband reminded *_ however_ that there seemed to be nothing in the boys’ recent adventure that would justify so drastic a prohibition.,her,sit,feared,dont
The boys had successfully made a difficult journey without harm_ and had proved that they were quite able to take care of themselves under unusual conditions of great danger_ as he had all along * that they were.,maintained,news,makes,barrel
There * no question_ though_ of their going back to the Mexican mine.,was,air,incentive,successful
The entire State * Chihuahua was so unsettled by the frequent changes of the revolution that even Mr. Porter admitted it would be the wildest folly to attempt to return there.,of,stretched,invited,shame
So the boys entered the El Paso High School for the rest of * year and the next_ and their father gradually reconciled himself to the idea of losing his entire Mexican investments.,that,groves,potation,cubbyhole
It was difficult * Mr. Porter to settle down quietly at home_ where he had no regular business_ and_ moreover_ he possessed in a high degree the American mania for travel.,for,lifelike,mans,lunch
The result was_ that one year of inactivity * as much as he could endure_ and as the second summer approached he began to long for a change of scene.,was,unroll,plenty,corridor
Being cut off from his accustomed Mexican stamping ground_ he was * to look farther afield.,forced,designed,tripped,flattopped
One day he read an * of the great Russian Fair at Nizhni-Novgorod and that reminded him that he had long wished to visit that wonderful mart.,account,arrangements,rocky,bodies
So he proposed * the entire family should make the trip.,that,glad,branches,exclamations
It would_ he said_ be a * education for the boys_ and it was providential that the date of the Fair and their summer vacation exactly coincided.,liberal,standing,finding,grasp
Mrs. Porter was plunged in despair at * proposal_ for to penetrate to the interior of Russia seemed to her like invading one of the wildest and most impossible countries on earth.,the,tracks,lazily,thick
In vain her husband assured her that Russian hotels were notoriously comfortable_ and that_ indeed_ to * comfort in every department of his living was the ideal of the Russian.,attain,theyre,increased,their
To begin with_ there was no more delightful course of ocean travel than that * by the steamers of the Russian-American line from New York to Libau.,supplied,repulsivelooking,rough,peril
And to visit * of the peaceful countries of Europe was a very different matter_ anyway_ from a journey in strife-broken Mexico.,any,suffocated,choose,communicating
Mr. Porter was obliged to admit that it would * a long journey_ but he was sure every part of it would be so delightful that his wife would never regret having gone.,necessitate,joking,memory,heavily
Mrs. Porter was not in * least convinced_ but experience had taught her that when her husband once fixed his mind on a thing he seldom gave it up_ so she proposed a compromise.,the,advancing,child,terror
She would make one of the party as far as New York_ but would remain there with her sister_ * she had long wished to visit_ until Mr. Porter and the boys returned in September.,whom,ordinarily,delight,skipped
